epoch,train_loss,valid_loss,train_ppl,valid_ppl,time
1,5.9196,9.3306,372.2693,11278.4074,277.93
2,4.9385,9.6595,139.5609,15670.5063,292.51
3,4.4754,9.4952,87.8298,13295.3058,277.29
4,4.0202,9.3879,55.7118,11943.4753,282.99
5,3.6525,9.2805,38.5694,10727.1130,272.15
6,3.3939,9.3700,29.7818,11730.8732,272.56
7,3.2054,9.2746,24.6647,10663.2654,272.97
8,3.0578,9.3231,21.2805,11193.1010,273.16
9,2.9376,9.2474,18.8701,10377.4455,271.53
10,2.8369,9.3242,17.0635,11206.3132,274.89
11,2.7515,9.3550,15.6654,11556.6271,273.06
12,2.6742,9.4128,14.5012,12244.4782,273.38
13,2.6077,9.5283,13.5680,13743.1887,272.40
14,2.5476,9.5717,12.7768,14352.7522,274.19
