epoch,train_loss,valid_loss,train_ppl,valid_ppl,time
1,6.5656,6.8926,710.2671,984.9707,174.59
2,5.8786,6.7236,357.3169,831.8112,176.17
3,5.4599,6.5603,235.0640,706.5088,175.09
4,5.1616,6.5313,174.4460,686.3209,179.40
5,4.9366,6.4773,139.2902,650.2133,178.09
6,4.7737,6.4856,118.3613,655.6542,177.42
7,4.6348,6.4410,103.0031,627.0029,176.49
8,4.5256,6.4584,92.3534,638.0364,175.08
9,4.4356,6.4286,84.4005,619.2849,175.20
10,4.3517,6.4089,77.6116,607.2506,176.08
11,4.2615,6.5097,70.9196,671.6165,176.00
12,4.2100,6.4980,67.3534,663.8397,176.63
13,4.1400,6.5489,62.8042,698.4666,176.57
14,4.1102,6.4858,60.9580,655.7561,209.88
15,4.0390,6.5696,56.7713,713.0823,182.10
