epoch,train_loss,valid_loss,train_ppl,valid_ppl,time
1,6.6508,7.0512,773.3722,1154.2450,181.87
2,6.0885,6.9542,440.7596,1047.5614,178.02
3,5.8011,6.8383,330.6743,932.8711,176.28
4,5.5821,6.7225,265.6345,830.9250,176.74
5,5.3938,6.6870,220.0443,801.8944,175.89
6,5.2389,6.6616,188.4716,781.7856,176.48
7,5.1175,6.6045,166.9179,738.4206,176.40
8,5.0099,6.6078,149.8932,740.8695,175.28
9,4.9206,6.5639,137.0792,709.0363,176.45
10,4.8326,6.5693,125.5394,712.8478,176.26
11,4.7740,6.6255,118.3949,754.0961,175.76
12,4.7101,6.6272,111.0611,755.3865,175.69
13,4.6555,6.6013,105.1582,736.0726,174.22
14,4.5936,6.5775,98.8540,718.7740,173.76
